,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
0,11/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,3.2,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
1,12/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
2,13/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,10.4,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
3,14/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,14.4,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
4,15/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.3,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
5,16/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,7.5,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
6,17/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,5.2,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
7,18/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,6.1,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
8,19/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
9,20/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,11.6,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
10,21/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,7.3,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
11,22/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,2.8,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
12,23/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,5.5,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
13,24/09/2017 12:00:00 a. m.,CORPORINOQUIA,Arauca-Col. Simón Bolívar,Manual,7.094167,-70.7575,81,ARAUCA,81001,ARAUCA,Indicativa,24,PM2.5,µg/m3,6.7,"{'latitude': '7.094167', 'longitude': '-70.7575'}"
