,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
0,11/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
1,12/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,51.3,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
2,13/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,23.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
3,14/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,35,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
4,15/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,5.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
5,16/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,6.8,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
6,17/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,20.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
7,18/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,38.8,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
8,19/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,12.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
9,20/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,25.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
10,21/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,28.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
11,22/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,11.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
12,23/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
13,24/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,10.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
14,25/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,7.3,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
15,26/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,53.4,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
16,27/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,48.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
17,28/09/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,26.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
18,01/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,6.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
19,02/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,13.9,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
20,03/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,17.9,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
21,04/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
22,05/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.8,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
23,06/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,21.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
24,07/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,21.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
25,08/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,17.9,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
26,09/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
27,10/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,8,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
28,11/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,22.3,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
29,12/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,13.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
30,13/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,16.6,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
31,14/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,12.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
32,15/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,17.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
33,16/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
34,17/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,16.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
35,18/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.8,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
36,21/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,19.3,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
37,22/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
38,23/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,18,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
39,24/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.8,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
40,25/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,21.9,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
41,26/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
42,27/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,14.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
43,28/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,19.9,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
44,29/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,20.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
45,30/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,15,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
46,31/10/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,18.1,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
47,01/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,22.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
48,02/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,21.7,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
49,03/11/2017 12:00:00 a. m.,CORPORINOQUIA,Yopal-ITEY,Manual,5.324722,-72.385556,85,CASANARE,85001,YOPAL,Indicativa,24,PM2.5,µg/m3,19.2,"{'latitude': '5.324722', 'longitude': '-72.385556'}"
