,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
0,10/10/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,5.64,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
1,13/10/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,7.18,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
2,19/10/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,6.22,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
3,25/10/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,16.83,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
4,28/10/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,16.95,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
5,31/10/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,9.35,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
6,03/11/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,19.5,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
7,09/11/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,23.51,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
8,12/11/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,19,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
9,15/11/2012 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,12.2,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
