,nombre_de_la_estaci_n,nombre_del_municipio,Unnamed: 0,latitud,longitud,c_digo_del_departamento,c_digo_del_municipio,tiempo_de_exposici_n,concentraci_n
0,Arauca-Col. Simón Bolívar,ARAUCA,44.5,7.094167000000004,-70.75749999999994,81.0,81001.0,24.0,13.113333333333333
0,Estación Móvil,BARRANQUILLA,4601.0,10.994389000000009,-74.78966700000001,8.0,8001.0,1.0,1.0
1,Malambo-Secret. de Tránsito,MALAMBO,11964.872534005945,10.861388999998624,-74.7738889999818,8.0,8433.0,1.7562381767408342,18.27887614991294
2,Policía,SOLEDAD,26516.054296346414,10.926389999996909,-74.78879999998716,8.0,8758.0,1.7099966170500676,16.360803382663867
3,Soledad-EDUMAS,SOLEDAD,2288.0,10.920833000000078,-74.81333299999888,8.0,8758.0,1.0,14.083534767999984
4,Soledad-Policía Hipódromo,SOLEDAD,19927.204827958925,10.926944000002445,-74.77138900000132,8.0,8758.0,1.756170059448748,21.582899615213364
5,Tres Ave Marías,BARRANQUILLA,34683.5427855971,11.014899999997702,-74.80729999998805,8.0,8001.0,1.7248942232967792,12.61971507843347
0,Base Naval,CARTAGENA DE INDIAS,6047.5,10.413333000001206,-75.54982499999502,13.0,13001.0,1.0,40.15333675083986
1,Zona Franca La Candelaria,CARTAGENA DE INDIAS,19482.0,10.326459999999415,-75.48940700000338,13.0,13001.0,1.5682664320043322,17.301061289762966
0,Móvil Juan José Rondón,SOGAMOSO,26645.58982440342,5.7411110000012275,-72.90613100001622,15.0,15759.0,1.7559657811796487,16.05234230769232
1,Nazareth,NOBSA,26646.538215542052,5.765488000000337,-72.89685300001099,15.0,15491.0,1.5369363607291333,13.783190900706995
2,Nobsa-Bomberos,NOBSA,50207.0,5.770917000001088,-72.93796400000357,15.0,15491.0,1.92,22.07114066726783
3,Parque Rec. del Norte,SOGAMOSO,37319.43007841146,5.725951000000333,-72.9218520000341,15.0,15759.0,1.4735713882777683,14.406441481294323
4,Ráquira-Colegio,RÁQUIRA,20288.77540522178,5.53746810000104,-73.63499964998805,15.0,15600.0,1.814811220033,18.410086069226065
0,Licorera,MANIZALES,378.0,5.068541000000067,-75.51720100000072,17.0,17001.0,24.0,16.749329388560177
0,Yopal-ITEY,YOPAL,44.5,5.324722000000005,-72.38555600000011,85.0,85001.0,24.0,17.207777777777782
0,Caloto,CALOTO,368.0,3.0340719999999997,-76.408487,19.0,19142.0,24.0,12.084285714285715
1,Campanario,POPAYÁN,182.0,2.438054999999989,-76.61304999999994,19.0,19001.0,24.0,12.81388888888889
2,Edificio Edgar Negret,POPAYÁN,439.0,2.445161000000001,-76.60544400000005,19.0,19001.0,24.0,13.598814814814812
3,Guachené,GUACHENÉ,510.0,3.1330009999999997,-76.39225599999999,19.0,19300.0,24.0,21.785714285714285
4,Miranda,MIRANDA,517.0,3.2509790000000005,-76.22907,19.0,19455.0,24.0,6.069999999999999
5,Santander,SANTANDER DE QUILICHAO,531.5,3.005130999999999,-76.481559,19.0,19698.0,24.0,13.161818181818179
6,Villa Rica,VILLA RICA,546.0,3.172729,-76.45904800000001,19.0,19845.0,24.0,19.22714285714286
0,V4 Bomberos,VALLEDUPAR,2687.0,10.468621999999963,-73.25764200000027,20.0,20001.0,24.0,13.455391304347827
1,ZM01 La Loma Centro,EL PASO,1440.8004667444575,9.614166999999899,-73.60444399999868,20.0,20250.0,24.0,21.883067993366513
2,ZM02 La Jagua Centro,LA JAGUA DE IBIRICO,1715.0129151291512,9.559417000000224,-73.32966699999928,20.0,20400.0,24.0,13.239776397515513
3,ZM03 La Loma 2,EL PASO,3713.56,9.614000000000026,-73.58938900000044,20.0,20250.0,24.0,12.38849557522124
4,ZM05 La Aurora,CHIRIGUANÁ,4147.0,9.46602799999995,-73.55083300000027,20.0,20178.0,24.0,4.672043010752688
5,ZM06 Boquerón,LA JAGUA DE IBIRICO,4424.36,9.631167000000003,-73.42294400000065,20.0,20400.0,24.0,6.2094827586206875
6,ZM07 Plan Bonito,EL PASO,1459.0,9.64061099999991,-73.49788899999928,20.0,20250.0,24.0,23.57916849015317
7,ZM09 La Jagua Vía,LA JAGUA DE IBIRICO,3578.236220472441,9.565528000000068,-73.33263900000019,20.0,20400.0,24.0,14.311666666666666
8,ZM11 Minguillo,LA PAZ,2035.0,9.94077799999998,-73.5005920000002,20.0,20621.0,24.0,17.31922580645162
9,ZM12 Rincón Hondo,CHIRIGUANÁ,5158.68,9.393971999999954,-73.49008300000037,20.0,20178.0,24.0,7.42901785714286
10,ZM13 El Hatillo,EL PASO,5514.213333333333,9.648749999999941,-73.57002799999935,20.0,20250.0,24.0,19.473023255813953
11,ZM20 Costa Hermosa,EL PASO,5972.0,9.623666999999948,-73.58638900000004,20.0,20250.0,24.0,21.565999999999995
12,ZM22 Casacará,AGUSTÍN CODAZZI,4308.6662143826325,9.83177799999995,-73.29936099999935,20.0,20013.0,24.0,14.414121338912137
0,Univ. Tecnológica del Chocó,QUIBDÓ,5.5,5.6811110000000005,-76.646111,27.0,27001.0,24.0,24.367499999999996
0,Bogotá-Mochuelo,BOGOTÁ. D.C.,224063.35003362474,4.5302138859991725,-74.14221713997365,11.0,11001.0,1.5645595158036314,20.57377669571162
1,C. Alto Rendimiento,BOGOTÁ. D.C.,137499.4801357874,4.65846700000098,-74.08396699995451,11.0,11001.0,1.2226436110963772,17.644922611219528
2,Cajicá-Manas,CAJICÁ,337291.846740638,4.957911482999493,-74.01097625001167,25.0,25126.0,1.831682187438082,18.260809654414338
3,Carvajal - Sevillana,BOGOTÁ. D.C.,158448.10858830117,4.595617000003149,-74.14858300002871,11.0,11001.0,1.213689354986509,30.27694617270421
4,Cogua-PTAR I,COGUA,381573.0,5.054945224999906,-73.97698600998747,25.0,25200.0,1.92,18.373550065019508
5,DLIA,MOSQUERA,390698.0,4.721380000000434,-74.23638000000807,25.0,25473.0,1.92,11.192631384583166
6,Guaymaral,BOGOTÁ. D.C.,193578.68428588126,4.783732999998761,-74.04378300001503,11.0,11001.0,1.2452956989247312,15.002978465395783
7,Kennedy,BOGOTÁ. D.C.,186194.54437146784,4.6250499999981525,-74.16133299997945,11.0,11001.0,1.1282266687032227,28.32058619069345
