fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
08/05/2012 12:00:00 AM,CUNDINAMARCA,COTA,INUNDACION,25214,,,,,,,,,,,,,,,,120,,,,0,0,0,0,,0,0
03/12/2013 12:00:00 AM,CUNDINAMARCA,CARMEN DE CARUPA,INCENDIO FORESTAL,25154,,,,,,,,,,,,,,,,1,,0,,0,0,0,0,,0,0
10/01/2013 12:00:00 AM,CASANARE,YOPAL,EXPLOSION,85001,2,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
02/09/2013 12:00:00 AM,CALDAS,CHINCHINA,SISMO,,,,,5,1,,1,,,,,,,,,,,0,,0,0,0,0,,0,0
05/05/2009 12:00:00 AM,SANTANDER,ZAPATOCA,INUNDACION,68895,,,,550,110,,110,,,,,,,,,,,,,0,0,0,0,,,0
07/30/2013 12:00:00 AM,ARAUCA,ARAUQUITA,CONTAMINACION,81065,,20,,20,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
09/20/2008 12:00:00 AM,NORTE DE SANTANDER,PUERTO SANTANDER,VENDAVAL,54553,,,,180,36,,36,,,,,,,,,,,,39749,0,0,"5,298,300",0,,,"5,298,300"
02/10/2012 12:00:00 AM,TOLIMA,COELLO,INUNDACION,73200,,,,15,3,,3,,,,,,,,,,,,,0,0,0,0,,0,0
10/10/2012 12:00:00 AM,ANTIOQUIA,SALGAR,VENDAVAL,05642,,,,300,60,,60,,,,,,,,,,,,,0,0,0,0,,0,0
04/25/2011 12:00:00 AM,CASANARE,PAZ DE ARIPORO,INUNDACION,85250,,,,"3,110",622,,622,,,,,,,,,,,,,0,0,0,0,,0,0
05/29/2002 12:00:00 AM,META,SAN CARLOS DE GUAROA,INUNDACION,50680,,,,175,36,,27,2,,,,,,,,,,,,0,0,0,0,,,0
08/03/2012 12:00:00 AM,SUCRE,SAN BENITO ABAD,VENDAVAL,70678,,,,160,38,,38,,,,,,,,,,,,,0,0,"72,914,002.84",0,,0,"72,914,002.84"
05/12/2012 12:00:00 AM,ANTIOQUIA,LA PINTADA,DESLIZAMIENTO,05390,2,,,,,2,,1,,,,,,,,,,,,0,0,0,0,,0,0
08/15/2013 12:00:00 AM,PUTUMAYO,MOCOA,DESLIZAMIENTO,86001,,,,20,4,,4,1,,,,,,,,,,0,,0,0,0,0,,0,0
12/15/2010 12:00:00 AM,META,PUERTO CONCORDIA,INUNDACION,50450,,,,847,197,,197,2,,,,,,,,,PERDIDA DE CULTIVOS,,,0,0,0,0,,0,0
02/12/2012 12:00:00 AM,CUNDINAMARCA,LA VEGA,VENDAVAL,25402,,,,55,15,2,13,,,,,,,,,,,,,0,0,0,0,,0,0
02/22/2013 12:00:00 AM,CASANARE,PAZ DE ARIPORO,INCENDIO FORESTAL,85250,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
09/19/2011 12:00:00 AM,LA GUAJIRA,FONSECA,INUNDACION,44279,,,,"1,540",308,,308,,,,,,,,,,,,,0,0,0,0,,0,0
10/12/2010 12:00:00 AM,HUILA,SALADOBLANCO,VENDAVAL,41660,,,,50,10,,10,,,,,,,2,,,,,,0,0,0,0,,0,0
03/25/2006 12:00:00 AM,VALLE DEL CAUCA,GINEBRA,DESLIZAMIENTO,76306,,,,50,10,,10,,,,,,,,,,,,,0,0,0,0,,,0
01/21/2013 12:00:00 AM,CESAR,EL COPEY,INCENDIO FORESTAL,20238,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
09/15/2013 12:00:00 AM,BOYACA,MARIPI,VENDAVAL,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
01/20/2005 12:00:00 AM,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO ESTRUCTURAL,76113,,1,,36,16,6,10,,,,,,,,,,,,38385,"9,200,000","3,600,000",0,0,,,"12,800,000"
02/15/2012 12:00:00 AM,ANTIOQUIA,BARBOSA,INCENDIO FORESTAL,05079,,,,,,,,,,,,,,,,2,,,,0,0,0,0,,0,0
08/03/2013 12:00:00 AM,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,76001,,,,,,,,,,,,,,,,12,,0,,0,0,0,0,,0,0
02/18/2000 12:00:00 AM,NORTE DE SANTANDER,CUCUTILLA,INUNDACION,54223,,,,,,,,,,,,,,,1,,,,,0,0,0,0,,,0
02/17/2013 12:00:00 AM,SANTANDER,PIEDECUESTA,DESLIZAMIENTO,68547,,,,360,90,,85,,,,5,,,,,,,"21,300,000",,0,0,"5,600,000",0,,0,"5,600,000"
07/04/2012 12:00:00 AM,HUILA,PITAL,INCENDIO FORESTAL,41548,,,,,,,,,,,,,,,,1,,,,0,0,0,0,,0,0
12/06/2011 12:00:00 AM,CUNDINAMARCA,LA PALMA,DESLIZAMIENTO,25394,,,,5,1,,1,1,,,,,,,,,,,,0,0,0,0,,0,0
