,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
0,18/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,4.41,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
1,19/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,5.73,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
2,20/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,2.2,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
3,21/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,2.2,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
4,22/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,1.76,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
5,23/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,2.2,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
6,24/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,3.52,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
7,25/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,7.49,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
8,26/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,15.42,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
9,27/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,22.03,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
10,28/01/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,17.18,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
11,16/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,27.31,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
12,17/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,29.07,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
13,18/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,28.19,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
14,19/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,29.52,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
15,20/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,44.05,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
16,21/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,29.52,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
17,22/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,28.63,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
18,23/02/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,28.63,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
19,23/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,12.33,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
20,24/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,11.01,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
21,25/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,8.81,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
22,26/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.25,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
23,27/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,7.05,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
24,28/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,13.22,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
25,29/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.25,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
26,30/03/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,6.17,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
27,18/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.13,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
28,19/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,5.65,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
29,20/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.13,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
30,21/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,11.74,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
31,22/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,6.96,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
32,23/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,5.22,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
33,24/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,13.04,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
34,25/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,13.04,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
35,26/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,11.3,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
36,27/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,11.74,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
37,28/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,10,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
38,29/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,7.83,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
39,30/04/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,10.87,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
40,01/05/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,5.65,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
41,18/05/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,10.13,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
42,19/05/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,11.45,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
43,20/05/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,10.57,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
