,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
0,18/11/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,4.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
1,21/11/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,6.67,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
2,24/11/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,4.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
3,27/11/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,8.33,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
4,30/11/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,7.92,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
5,03/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,10.83,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
6,06/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5.42,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
7,07/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5.83,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
8,08/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,4.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
9,09/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,11.25,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
10,12/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5.42,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
11,15/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,6.25,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
12,18/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,4.17,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
13,21/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,4.58,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
14,23/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,8.33,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
15,24/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5.83,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
16,25/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
17,27/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,8.33,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
18,28/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,6.67,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
19,29/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,5.83,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
20,30/12/2013 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,8.33,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
21,01/01/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,14.17,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
22,02/01/2014 12:00:00 a. m.,CORPONARIÑO,IDSN,Manual,1.216489,-77.282944,52,NARIÑO,52001,PASTO,Fija,24,PM2.5,µg/m3,7.08,"{'latitude': '1.216489', 'longitude': '-77.282944'}"
