,fecha,autoridad_ambiental,nombre_de_la_estaci_n,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,geocoded_column,concentraci_n,tecnolog_a
0,24/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",,
1,23/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",22.29,
2,22/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",31.42,
3,21/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",17.17,
4,20/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",26.31,
5,19/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",22.65,
6,18/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",23.18,
7,17/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",34.71,
8,16/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",,
9,15/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",,
10,14/10/2018 00:00,CARDER,Pereira-Centro Tradicional,4.818333,-75.698889,66,RISARALDA,66001,PEREIRA,Fija,24,PM2.5,ugm3,"{'latitude': '4.818333', 'longitude': '-75.698889'}",12.57,
