ID;CODIGO;NOMBRE;DIRECCION;BARRIO;COMUNA;CLASIFICACION;DECLARATORIA POT;AUTOR;FECHA CREACION;TECNICA Y MATERIAL;ESTADO INTEGRIDAD;ESTADO CONSERVACION;TIPOLOGIA;ELEMENTOS;LOCALIZACION;FICHA;OBSERVACIONES
1;BM-ESP-EM-1;Benito Juárez;Glorieta de la Carrera 1 con Calle 44;Popular;4;Estatua;Si;Desconocido;18/07/1972;Piedra Tallada;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Piedra Tallada;3.47034029509,-76.5102393594;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-1.pdf;Sin observación
2;BM-ESP-EM-2;Árbol de la Vida;Autopista Sur Calle 5 entre Carreras 73 y 75;El Gran Limonar - Cataya;17;Monumento;Si;Sonia Morena y Alberto Morcillo;4/05/1998;Estructura Metálica, Modelada en Fibra de Vidrio y Resina;Incompleto-Fragmentado;Malo;Escultura de Bulto Redondo;Base en Cemento;3.3918245352,-76.5451786289;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-2.pdf;Sin observación
3;BM-ESP-EM-3;El Águila;Carrera 38D Calles 4 y 5;Santa Isabel;19;Monumento;Si;Pedro Riascos;1/01/1960;Bronce Fundido A La Cera Perdida;Completo;Bueno;Escultura en Bulto Redondo;Pedestal y Placa;3.42655666768,-76.5476411989;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-3.pdf;Sin observación
4;BM-ESP-EM-4;Virgen de Yanaconas;Yanaconas;Corregimiento Los Andes;56;Monumento;Si;Marcelino Vallejo;1/01/1942;Modelada en Ferro Concreto;Desconocido;Desconocido;Grupo Escultórico;Pedestal: Escudo de Colombia. Estructura Arquitectura con Gradería;3.43754526426,-76.5930703174;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-4.pdf;Sin observación
5;BM-ESP-EM-5;Homenaje Música;Avenida 6N Calle 35N;San Vicente;2;Monumento;Si;Desconocido;1/01/1991;Material de Hierro, Varillas y Lamina;Completo;Regular;Estructura en Clave de Sol;Pedestal en Cemento y Granito. Placa;3.47321426145,-76.5259570861;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-5.pdf;Sin observación
6;BM-ESP-EM-6;Homenaje al Policía;Avenida Américas Calle 18N;Versalles;2;Monumento;Si;Horacio Erazo Gómez;1/01/1992;Concreto Armado;Completo;Bueno;Grupo Escultórico;Desconocido;3.45758278498,-76.5298891532;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-6.pdf;Sin observación
7;BM-ESP-EM-7;Benjamín Herrera;Avenida Colombia entre Calles 12 y 13 al Margen Derecho del Rio Cali;San Pedro;3;Estatua;Si;Constantino Carvajal;29/02/1952;Bronce Fundido;Completo;Bueno;Escultura Pedreste en Bulto Redondo;Pedestal Cemento y Piedra. Placa;3.4540462248,-76.5323013837;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-7.pdf;Sin observación
8;BM-ESP-EM-8;El Gato del Rio;Avenida 4 Oeste Calle 3 Oeste sobre El Margen Izquierda del Rio Cali;Normandía;2;Monumento;Si;Hernando Tejada;3/07/1996;Bronce Fundido;Unido;Regular;Escultura en Bulto Redondo;Pedestal;3.45130097323,-76.543044265;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-8.pdf;Sin observación
9;BM-ESP-EM-9;Francisco de Paula Santander;Avenida Colombia Calle 2 Oeste frente al Hotel Intercontinental;El Peñón;3;Estatua;Si;Luis Pinto Maldonado. Casa De Fundición Pilzinic;1/01/1942;Bronce Fundido a la Cera Perdida;Completo;Regular;Escultura Pedestre de Bulto Redondo;Pedestal en Piedra y Granito;3.45148778884,-76.5415796738;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-9.pdf;Sin observación
10;BM-ESP-EM-10;Cuadriga Romana;Avenida Colombia Calle 5 Oeste (Obelisco);El Peñón;3;Monumento;Si;Juan Fisher;1/01/1926;Modelado de Estructura Metálica y Recubrimiento en Concreto y Yeso;Incompleto;Bueno;Grupo Escultórico;Pedestal en Cemento. Placa;3.45092726292,-76.5444391223;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-10.pdf;Sin observación
